No.,รายการยา,Dosage Form,Drug Unit,Unit Price
1,(HAD) Adenosine 3 mg/ml Vial,SOLUTIONS,Vial,454.00
2,(HAD) ADREnaline - PL 1 mg./ml. Amphule (1 ml.),SOLUTIONS,Amphule (1 ml.),7.75
3,(HAD) Amiodarone injection 150 mg/3ml Amphule,INJECTIONS,Amphule,107.00
4,(HAD) Dopamine - PL 25 mg./ml. Amphule (10 ml.),Injection,Amphule (10 ml.),19.00
5,(HAD) Heparin 5000 units/ml. Vial,INJECTIONS,Vial,167.00
6,(HAD) KCl injection 20 mEq. Amphule (10 ml.),INJECTIONS,Amphule (10 ml.),10.25
7,(HAD) MAGNESIUM SULFATE 10 % Amphule (10 ml.),INJECTIONS,Amphule (10 ml.),13.00
8,(HAD) MAGNESIUM SULFATE 50 % Amphule (2 ml.),INJECTIONS,Amphule (2 ml.),11.50
9,(HAD) MORPHINE - PL 10 mg./ml. Amphule (1 ml.),Injection,Amphule (1 ml.),8.50
10,(HAD) Nicardipine inj. 1 mg/ml; 10 ml amp,INJECTIONS,amp,149.00
11,(HAD) Norepinephrine (Levophed) 1 mg./ml. Amphule,INJECTIONS,Amphule,55.00
12,(HAD) PETHIDINE 50 mg./ml. Amphule,Injection,Amphule,8.50
13,(HAD) Streptokinase inj 1.5 mu. Vial,INJECTIONS,Vial,"9,595.00"
14,(HAD) WARFARIN (สีชมพู) 5 mg. เม็ด,TABLETS,เม็ด,5.00
15,(HAD) WARFARIN (สีฟ้า) 3 mg. เม็ด,TABLETS,เม็ด,5.00
16,(HAD) Warfarin (สีส้ม) 2 mg. เม็ด,TABLETS,เม็ด,2.25
17,10 mg. AMLODIPINE 10 mg. เม็ด,TABLETS,เม็ด,1.50
18,20 mg.ENALAPRIL 20 MG เม็ด,TABLETS,เม็ด,1.00
19,25 mg CARVEDILOL - PL 25 mg. เม็ด,TABLETS,เม็ด,3.75
20,3% NaCl 3 % ขวด (500 ml.),INJECTIONS,ขวด (500 ml.),37.50
